Gene Systematic Name,Gene Official Symbol,Gene Synonyms,Organism
YBR010W,HHT1,BUR5|SIN2|histone H3|L000000772,Saccharomyces cerevisiae (S288c)
YNL031C,HHT2,histone H3|L000000773,Saccharomyces cerevisiae (S288c)
SPCC737.03c,ima1,-,Schizosaccharomyces pombe (972h)
SPAC18G6.10,lem2,heh1,Schizosaccharomyces pombe (972h)
YML034W,SRC1,HEH1|YML033W|S000004496,Saccharomyces cerevisiae (S288c)
YDR458C,HEH2,-,Saccharomyces cerevisiae (S288c)
YKL129C,MYO3,myosin 3|L000002889,Saccharomyces cerevisiae (S288c)
SPBC29A10.05,exo1,mut2,Schizosaccharomyces pombe (972h)
YBL032W,HEK2,KHD1,Saccharomyces cerevisiae (S288c)
YBR009C,HHF1,histone H4|L000000770,Saccharomyces cerevisiae (S288c)
YNL030W,HHF2,histone H4|L000000771,Saccharomyces cerevisiae (S288c)
YFL009W,CDC4,SCF ubiquitin ligase complex subunit CDC4|L000000244,Saccharomyces cerevisiae (S288c)
YDR054C,CDC34,DNA6|UBC3|SCF E2 ubiquitin-protein ligase catalytic subunit CDC34|L000000271,Saccharomyces cerevisiae (S288c)
SPCP31B10.05,tdp1,-,Schizosaccharomyces pombe (972h)
YDR007W,TRP1,phosphoribosylanthranilate isomerase TRP1|L000002352,Saccharomyces cerevisiae (S288c)
YJL084C,ALY2,ART3,Saccharomyces cerevisiae (S288c)
YBL067C,UBP13,L000003172,Saccharomyces cerevisiae (S288c)
YDR388W,RVS167,amphiphysin|L000001789,Saccharomyces cerevisiae (S288c)
YOR181W,LAS17,BEE1|L000003068|L000003581,Saccharomyces cerevisiae (S288c)
YJL020C,BBC1,MTI1|YJL021C,Saccharomyces cerevisiae (S288c)
YOL090W,MSH2,PMS5|mismatch repair ATPase MSH2|L000001190,Saccharomyces cerevisiae (S288c)
YCR092C,MSH3,mismatch repair protein MSH3|L000001191,Saccharomyces cerevisiae (S288c)
YDL102W,POL3,CDC2|HPR6|TEX1|DNA-directed DNA polymerase delta POL3|L000000242,Saccharomyces cerevisiae (S288c)
YKL004W,AUR1,inositol phosphorylceramide synthase|L000002767,Saccharomyces cerevisiae (S288c)
YAL048C,GEM1,GON1|ERMES complex Ca(2+)-binding regulatory GTPase GEM1,Saccharomyces cerevisiae (S288c)
YBR272C,HSM3,L000004729,Saccharomyces cerevisiae (S288c)
YGL004C,RPN14,-,Saccharomyces cerevisiae (S288c)
YIR006C,PAN1,DIM2|MDP3|MIP3|L000001335,Saccharomyces cerevisiae (S288c)
YNL084C,END3,L000000558,Saccharomyces cerevisiae (S288c)
YBL016W,FUS3,DAC2|mitogen-activated serine/threonine-protein kinase FUS3|L000000655,Saccharomyces cerevisiae (S288c)
YDR369C,XRS2,L000002489,Saccharomyces cerevisiae (S288c)
YML030W,RCF1,AIM31,Saccharomyces cerevisiae (S288c)
YDL142C,CRD1,CLS1|cardiolipin synthase|L000003358,Saccharomyces cerevisiae (S288c)
YEL027W,VMA3,CLS7|CUP5|GEF2|H(+)-transporting V0 sector ATPase subunit c|L000000441,Saccharomyces cerevisiae (S288c)
YPL234C,VMA11,CLS9|TFP3|H(+)-transporting V0 sector ATPase subunit c|L000002290|L000002464,Saccharomyces cerevisiae (S288c)
YDR297W,SUR2,SYR2|sphingosine hydroxylase|L000002244|L000002259,Saccharomyces cerevisiae (S288c)
YOL096C,COQ3,hexaprenyldihydroxybenzoate methyltransferase|L000000380,Saccharomyces cerevisiae (S288c)
YNR048W,YNR048W,CRF1|putative aminophospholipid translocase regulatory protein,Saccharomyces cerevisiae (S288c)
YML064C,TEM1,Ras family GTPase TEM1|L000002282,Saccharomyces cerevisiae (S288c)
YDR113C,PDS1,securin|L000001368,Saccharomyces cerevisiae (S288c)
YGL116W,CDC20,PAC5|ubiquitin-protein transferase activating protein CDC20|L000000259,Saccharomyces cerevisiae (S288c)
YMR001C,CDC5,MSD2|PKX2|polo kinase CDC5|L000000245,Saccharomyces cerevisiae (S288c)
YIL131C,FKH1,forkhead family transcription factor FKH1|L000002607,Saccharomyces cerevisiae (S288c)
YNL068C,FKH2,forkhead family transcription factor FKH2|L000002608,Saccharomyces cerevisiae (S288c)
YLR135W,SLX4,-,Saccharomyces cerevisiae (S288c)
YLR425W,TUS1,SOP10|Rho family guanine nucleotide exchange factor TUS1|L000004619|L000004622,Saccharomyces cerevisiae (S288c)
YBR098W,MMS4,SLX2|YBR100W,Saccharomyces cerevisiae (S288c)
YBR228W,SLX1,-,Saccharomyces cerevisiae (S288c)
YJR050W,ISY1,NTC30|UTR3|L000002730,Saccharomyces cerevisiae (S288c)
YBR188C,NTC20,L000004267,Saccharomyces cerevisiae (S288c)
YDL212W,SHR3,APF1|L000001885,Saccharomyces cerevisiae (S288c)
YLL031C,GPI13,MPC1,Saccharomyces cerevisiae (S288c)
SPCC970.01,rad16,rad10|rad20|swi9,Schizosaccharomyces pombe (972h)
SPBC3E7.08c,rad13,-,Schizosaccharomyces pombe (972h)
YCR066W,RAD18,E3 ubiquitin-protein ligase RAD18|L000001567,Saccharomyces cerevisiae (S288c)
-,Xrcc5,AI314015|Ku80|Ku86,Mus musculus
YCR048W,ARE1,SAT2|L000003221|L000002768,Saccharomyces cerevisiae (S288c)
YNR019W,ARE2,SAT1|L000003220|L000002769,Saccharomyces cerevisiae (S288c)
SPBC32F12.04,gtb1,tug1,Schizosaccharomyces pombe (972h)
SPBC20F10.06,mad2,-,Schizosaccharomyces pombe (972h)
YIL030C,SSM4,DOA10|KIS3|E3 ubiquitin-protein ligase SSM4|L000002087,Saccharomyces cerevisiae (S288c)
YOL013C,HRD1,DER3|E3 ubiquitin-protein ligase HRD1|L000002963,Saccharomyces cerevisiae (S288c)
YOR008C,SLG1,HCS77|WSC1|L000003080,Saccharomyces cerevisiae (S288c)
YNL283C,WSC2,STA3|L000004217,Saccharomyces cerevisiae (S288c)
YOL105C,WSC3,L000004218,Saccharomyces cerevisiae (S288c)
YER098W,UBP9,L000003170,Saccharomyces cerevisiae (S288c)
SPBC582.03,cdc13,-,Schizosaccharomyces pombe (972h)
Dmel_CG11990,hyx,CG11990|Cdc73|DmelCG11990|hyx/CDC73,Drosophila melanogaster
YHR192W,LNP1,-,Saccharomyces cerevisiae (S288c)
YDL204W,RTN2,-,Saccharomyces cerevisiae (S288c)
YLL006W,MMM1,YME6|ERMES complex subunit MMM1|L000001124,Saccharomyces cerevisiae (S288c)
YAL010C,MDM10,FUN37|L000000648|L000001053,Saccharomyces cerevisiae (S288c)
YOL009C,MDM12,ERMES complex subunit MDM12|L000002933,Saccharomyces cerevisiae (S288c)
tL(UAG)J,tL(UAG)J,L000003616,Saccharomyces cerevisiae (S288c)
tL(UAG)L1,tL(UAG)L1,L000003662,Saccharomyces cerevisiae (S288c)
YGR087C,PDC6,indolepyruvate decarboxylase 6|L000001357,Saccharomyces cerevisiae (S288c)
YKR050W,TRK2,RPD2|L000002335,Saccharomyces cerevisiae (S288c)
YGR189C,CRH1,S000007423,Saccharomyces cerevisiae (S288c)
YEL040W,UTR2,CRH2|L000002448,Saccharomyces cerevisiae (S288c)
SPBC3F6.03,trr1,caf4,Schizosaccharomyces pombe (972h)
SPAC7D4.07c,trx1,-,Schizosaccharomyces pombe (972h)
SPAC1783.05,hrp1,chd1,Schizosaccharomyces pombe (972h)
SPAC3G6.01,hrp3,-,Schizosaccharomyces pombe (972h)
SPCC622.09,htb1,-,Schizosaccharomyces pombe (972h)
SPAC5H10.12c,SPAC5H10.12c,-,Schizosaccharomyces pombe (972h)
SPBC4C3.08,mug136,-,Schizosaccharomyces pombe (972h)
SPBC19G7.05c,bgs1,cps1|drc1,Schizosaccharomyces pombe (972h)
YOR208W,PTP2,tyrosine protein phosphatase PTP2|L000001526,Saccharomyces cerevisiae (S288c)
YDR099W,BMH2,SCD3|14-3-3 family protein BMH2|L000000186,Saccharomyces cerevisiae (S288c)
YBR129C,OPY1,L000004016,Saccharomyces cerevisiae (S288c)
SPBC342.05,crb2,rhp9,Schizosaccharomyces pombe (972h)
YER017C,AFG3,YTA10|AAA family ATPase AFG3|L000002562|L000000057,Saccharomyces cerevisiae (S288c)
YDL042C,SIR2,MAR1|NAD-dependent histone deacetylase SIR2|L000001895,Saccharomyces cerevisiae (S288c)
YJR054W,KCH1,ERM6,Saccharomyces cerevisiae (S288c)
YML047C,PRM6,KCH2|pheromone-regulated K(+) transporter PRM6,Saccharomyces cerevisiae (S288c)
YLR022C,SDO1,guanine nucleotide exchange factor SDO1|S000029721,Saccharomyces cerevisiae (S288c)
YBL082C,ALG3,"RHK1|dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase|L000002668",Saccharomyces cerevisiae (S288c)
YNL048W,ALG11,"alpha-1,2-mannosyltransferase ALG11|L000003378",Saccharomyces cerevisiae (S288c)
YHR143W,DSE2,-,Saccharomyces cerevisiae (S288c)
YGL028C,SCW11,-,Saccharomyces cerevisiae (S288c)
YDR077W,SED1,L000001859,Saccharomyces cerevisiae (S288c)
SPAC1B9.02c,sck1,-,Schizosaccharomyces pombe (972h)
YDR158W,HOM2,THR2|aspartate-semialdehyde dehydrogenase|L000000799,Saccharomyces cerevisiae (S288c)
SPBC28F2.07,sfr1,dds20|mug13,Schizosaccharomyces pombe (972h)
YNL082W,PMS1,L000001457,Saccharomyces cerevisiae (S288c)
YPL164C,MLH3,mismatch repair protein MLH3,Saccharomyces cerevisiae (S288c)
YLR288C,MEC3,PIP3|PSO9|L000002907,Saccharomyces cerevisiae (S288c)
YAR007C,RFA1,BUF2|FUN3|RPA1|RPA70|replication factor A subunit protein RFA1|L000000204|L000001620,Saccharomyces cerevisiae (S288c)
YPR052C,NHP6A,L000001244|L000001245,Saccharomyces cerevisiae (S288c)
YBR089C-A,NHP6B,YBR090C-A|L000001246,Saccharomyces cerevisiae (S288c)
YPR101W,SNT309,NTC25|L000004269,Saccharomyces cerevisiae (S288c)
YFR037C,RSC8,SWH3|L000003458|L000003393,Saccharomyces cerevisiae (S288c)
YPL194W,DDC1,L000004256,Saccharomyces cerevisiae (S288c)
SPAC26H5.06,pot1,-,Schizosaccharomyces pombe (972h)
YKR072C,SIS2,HAL3|phosphopantothenoylcysteine decarboxylase complex subunit SIS2|L000001899,Saccharomyces cerevisiae (S288c)
YNR001C,CIT1,LYS6|citrate (Si)-synthase CIT1|CS1|L000000341,Saccharomyces cerevisiae (S288c)
YMR250W,GAD1,glutamate decarboxylase GAD1|S000007509,Saccharomyces cerevisiae (S288c)
YGR019W,UGA1,4-aminobutyrate transaminase|L000002422,Saccharomyces cerevisiae (S288c)
YDR254W,CHL4,CTF17|MCM17|L000000321,Saccharomyces cerevisiae (S288c)
YBR107C,IML3,MCM19|L000004778,Saccharomyces cerevisiae (S288c)
YDL117W,CYK3,-,Saccharomyces cerevisiae (S288c)
YOR054C,VHS3,YOR29-05|phosphopantothenoylcysteine decarboxylase complex subunit VHS3,Saccharomyces cerevisiae (S288c)
YIR019C,FLO11,MUC1|STA4|L000002104,Saccharomyces cerevisiae (S288c)
YER109C,FLO8,PHD5|STA10|YER108C|transcription factor FLO8|L000003202|S000000910|S000029523|L000004208,Saccharomyces cerevisiae (S288c)
YER125W,RSP5,MDP1|MUT2|NPI1|SMM1|UBY1|NEDD4 family E3 ubiquitin-protein ligase|L000001054|L000001779|L000001220,Saccharomyces cerevisiae (S288c)
YMR275C,BUL1,DAG1|RDS1|SMM2|ubiquitin-ubiquitin ligase BUL1|L000002733,Saccharomyces cerevisiae (S288c)
SPAC27F1.03c,uch1,-,Schizosaccharomyces pombe (972h)
SPBC409.06,uch2,-,Schizosaccharomyces pombe (972h)
SPBC17D11.01,nep1,SPBC20F10.11,Schizosaccharomyces pombe (972h)
SPBC32H8.02c,nep2,mug120|pi021|SPACTOKYO_453.14c,Schizosaccharomyces pombe (972h)
SPAC1687.13c,csn5,-,Schizosaccharomyces pombe (972h)
YDR419W,RAD30,DBH1|L000003523,Saccharomyces cerevisiae (S288c)
YPL158C,AIM44,GPS1,Saccharomyces cerevisiae (S288c)
SPBC365.13c,hba1,caf1,Schizosaccharomyces pombe (972h)
YJL092W,SRS2,HPR5|DNA helicase SRS2|RADH1|RADH|L000000809|L000001578,Saccharomyces cerevisiae (S288c)
SPAC20H4.07,rad57,rhp57|SPAC145.01,Schizosaccharomyces pombe (972h)
SPAC17A2.12,rrp1,SPAC17A2.12,Schizosaccharomyces pombe (972h)
SPBC23E6.02,rrp2,SPBC23E6.02,Schizosaccharomyces pombe (972h)
YJR048W,CYC1,cytochrome c isoform 1|L000000448,Saccharomyces cerevisiae (S288c)
YEL039C,CYC7,cytochrome c isoform 2|L000000451,Saccharomyces cerevisiae (S288c)
SPAC1006.09,win1,SPAC1250.06c|SPAPJ730.01,Schizosaccharomyces pombe (972h)
YLR304C,ACO1,GLU1|aconitate hydratase ACO1|L000000022,Saccharomyces cerevisiae (S288c)
YGL175C,SAE2,COM1|ssDNA endodeoxyribonuclease SAE2|L000002892,Saccharomyces cerevisiae (S288c)
YNL197C,WHI3,mRNA-binding protein WHI3|L000002486,Saccharomyces cerevisiae (S288c)
YDR284C,DPP1,ZRG1|bifunctional diacylglycerol diphosphate phospatase/phosphatidate phosphatase|L000003582,Saccharomyces cerevisiae (S288c)
YDR503C,LPP1,phosphatidate phosphatase LPP1|L000004266,Saccharomyces cerevisiae (S288c)
YGL013C,PDR1,AMY1|ANT1|BOR2|CYH3|NRA2|SMR2|TIL1|TPE1|TPE3|drug-responsive transcription factor PDR1|L000002984|L000003503|L000001361,Saccharomyces cerevisiae (S288c)
YBL005W,PDR3,AMY2|TPE2|drug-responsive transcription factor PDR3|L000002985|L000001363,Saccharomyces cerevisiae (S288c)
YAR002C-A,ERP1,L000004678,Saccharomyces cerevisiae (S288c)
YAL007C,ERP2,L000004679,Saccharomyces cerevisiae (S288c)
YDR191W,HST4,L000003043,Saccharomyces cerevisiae (S288c)
C6_02920C_A,VPS51,IPF16663|C6_02920C_B|CaO19.5568|IPF16663.1|CaO6.1357|orf19.5568|CA1647|C6_02920C|orf6.3243|orf19.13014|CAWG_05087|IPF12479.3|CaO6.3243|orf6.1357|CaO19.13014,Candida albicans (SC5314)
YJR121W,ATP2,F1F0 ATP synthase subunit beta|L000000142,Saccharomyces cerevisiae (S288c)
YKL126W,YPK1,SLI2|serine/threonine protein kinase YPK1|L000002541,Saccharomyces cerevisiae (S288c)
YER041W,YEN1,-,Saccharomyces cerevisiae (S288c)
YLR154C,RNH203,Rnh2C,Saccharomyces cerevisiae (S288c)
YDR363W,ESC2,L000004423,Saccharomyces cerevisiae (S288c)
YIR002C,MPH1,-,Saccharomyces cerevisiae (S288c)
YJL115W,ASF1,CIA1|nucleosome assembly factor ASF1|L000000126,Saccharomyces cerevisiae (S288c)
YDR310C,SUM1,L000003008,Saccharomyces cerevisiae (S288c)
YOR018W,ROD1,ART4|L000003079,Saccharomyces cerevisiae (S288c)
YFR022W,ROG3,ART7,Saccharomyces cerevisiae (S288c)
YLR233C,EST1,L000000588,Saccharomyces cerevisiae (S288c)
YML121W,GTR1,Rag GTPase GTR1|L000000742,Saccharomyces cerevisiae (S288c)
YGR163W,GTR2,L000004611,Saccharomyces cerevisiae (S288c)
YLR148W,PEP3,VAM8|VPS18|VPT18|tethering complex subunit PEP3|L000001374|L000002473,Saccharomyces cerevisiae (S288c)
YMR231W,PEP5,END1|VAM1|VPL9|VPS11|VPT11|tethering complex subunit PEP5|L000001376|L000002957,Saccharomyces cerevisiae (S288c)
YJR019C,TES1,PTE1|L000003343,Saccharomyces cerevisiae (S288c)
YOR046C,DBP5,RAT8|ATP-dependent RNA helicase DBP5|L000003292,Saccharomyces cerevisiae (S288c)
YIL115C,NUP159,NUP158|RAT7|FG-nucleoporin NUP159|L000002782,Saccharomyces cerevisiae (S288c)
YDR192C,NUP42,RIP1|UIP1|FG-nucleoporin NUP42|L000002940,Saccharomyces cerevisiae (S288c)
YDL006W,PTC1,CWH47|KCS2|TPD1|type 2C protein phosphatase PTC1|L000000890|L000001523,Saccharomyces cerevisiae (S288c)
YBR125C,PTC4,GCT1|type 2C protein phosphatase PTC4,Saccharomyces cerevisiae (S288c)
SPCC576.03c,tpx1,-,Schizosaccharomyces pombe (972h)
YHR166C,CDC23,anaphase promoting complex subunit CDC23|L000000261,Saccharomyces cerevisiae (S288c)
SPAC16.01,rho2,-,Schizosaccharomyces pombe (972h)
SPAC1F7.04,rho1,-,Schizosaccharomyces pombe (972h)
SPAC17G8.14c,pck1,SPAC22H10.01c,Schizosaccharomyces pombe (972h)
SPCC70.12c,ecl1,SPNG2611|SPNCRNA.518,Schizosaccharomyces pombe (972h)
SPBP35G2.16c,ecl2,SPNGAF61,Schizosaccharomyces pombe (972h)
SPBC8E4.12c,ecl3,SPNG1995-96,Schizosaccharomyces pombe (972h)
YPR018W,RLF2,CAC1|L000003990,Saccharomyces cerevisiae (S288c)
YLL002W,RTT109,KIM2|REM50|H3 histone acetyltransferase RTT109|KAT11|L000003932,Saccharomyces cerevisiae (S288c)
YGL209W,MIG2,MLZ1|L000003254,Saccharomyces cerevisiae (S288c)
YIL088C,AVT7,-,Saccharomyces cerevisiae (S288c)
SPBC1105.10,rav1,-,Schizosaccharomyces pombe (972h)
SPCC663.03,pmd1,-,Schizosaccharomyces pombe (972h)
SPAC3G6.02,rpn15,dss1|sem1,Schizosaccharomyces pombe (972h)
YBL057C,PTH2,-,Saccharomyces cerevisiae (S288c)
YMR276W,DSK2,L000002646,Saccharomyces cerevisiae (S288c)
YDR092W,UBC13,E2 ubiquitin-conjugating protein UBC13|L000003387,Saccharomyces cerevisiae (S288c)
YDR174W,HMO1,HSM2|L000003234,Saccharomyces cerevisiae (S288c)
YHR134W,WSS1,-,Saccharomyces cerevisiae (S288c)
YER162C,RAD4,L000001558,Saccharomyces cerevisiae (S288c)
YER151C,UBP3,BLM3|mRNA-binding ubiquitin-specific protease UBP3|L000002417|S000086717,Saccharomyces cerevisiae (S288c)
YKL022C,CDC16,anaphase promoting complex subunit CDC16|L000000256,Saccharomyces cerevisiae (S288c)
YBL084C,CDC27,APC3|SNB1|anaphase promoting complex subunit CDC27|L000000266,Saccharomyces cerevisiae (S288c)
YIL007C,NAS2,-,Saccharomyces cerevisiae (S288c)
YER049W,TPA1,-,Saccharomyces cerevisiae (S288c)
YDR536W,STL1,glucose-inactivated glycerol proton symporter STL1|L000002130,Saccharomyces cerevisiae (S288c)
YLR025W,SNF7,DID1|RNS4|VPL5|VPS32|ESCRT-III subunit protein SNF7|L000001950,Saccharomyces cerevisiae (S288c)
YER169W,RPH1,KDM4|L000004504,Saccharomyces cerevisiae (S288c)
YPL057C,SUR1,BCL21|CSG1|LPE15|mannosylinositol phosphorylceramide synthase catalytic subunit SUR1|L000002243,Saccharomyces cerevisiae (S288c)
YBR161W,CSH1,mannosylinositol phosphorylceramide synthase catalytic subunit CSH1,Saccharomyces cerevisiae (S288c)
YCR002C,CDC10,septin CDC10|L000000250,Saccharomyces cerevisiae (S288c)
YJR076C,CDC11,PSL9|septin CDC11|L000000251,Saccharomyces cerevisiae (S288c)
YNL157W,IGO1,-,Saccharomyces cerevisiae (S288c)
YHR132W-A,IGO2,-,Saccharomyces cerevisiae (S288c)
YNL293W,MSB3,GYP3|L000003918,Saccharomyces cerevisiae (S288c)
YOL112W,MSB4,L000003919,Saccharomyces cerevisiae (S288c)
YGR023W,MTL1,L000004649,Saccharomyces cerevisiae (S288c)
YCR034W,ELO2,FEN1|GNS1|VBM2|fatty acid elongase ELO2|L000003126|L000000608,Saccharomyces cerevisiae (S288c)
YMR162C,DNF3,aminophospholipid-translocating P4-type ATPase DNF3,Saccharomyces cerevisiae (S288c)
YMR078C,CTF18,CHL12|L000000431|L000000325,Saccharomyces cerevisiae (S288c)
YOR144C,ELG1,RTT110|S000007438,Saccharomyces cerevisiae (S288c)
YJL090C,DPB11,protein kinase activating protein DPB11|L000003001,Saccharomyces cerevisiae (S288c)
YBR060C,ORC2,RRR1|SIR5|origin recognition complex subunit 2|L000001776,Saccharomyces cerevisiae (S288c)
YDL002C,NHP10,HMO2|L000002765,Saccharomyces cerevisiae (S288c)
YER092W,IES5,-,Saccharomyces cerevisiae (S288c)
YJL151C,SNA3,-,Saccharomyces cerevisiae (S288c)
YDR525W-A,SNA2,-,Saccharomyces cerevisiae (S288c)
YBR127C,VMA2,VAT2|H(+)-transporting V1 sector ATPase subunit B|ATPSV|L000002458,Saccharomyces cerevisiae (S288c)
YDR138W,HPR1,TRF1|L000000808,Saccharomyces cerevisiae (S288c)
YGL219C,MDM34,MMM2|ERMES complex subunit MDM34,Saccharomyces cerevisiae (S288c)
YDL140C,RPO21,RPB1|RPB220|SUA8|DNA-directed RNA polymerase II core subunit RPO21|B220|L000001744,Saccharomyces cerevisiae (S288c)
YAL027W,SAW1,DNA-binding protein SAW1,Saccharomyces cerevisiae (S288c)
SPAC11G7.02,pub1,-,Schizosaccharomyces pombe (972h)
SPAC1805.15c,pub2,-,Schizosaccharomyces pombe (972h)
YLR237W,THI7,THI10|L000003514,Saccharomyces cerevisiae (S288c)
YOR192C,THI72,-,Saccharomyces cerevisiae (S288c)
YML069W,POB3,FACT complex subunit POB3|L000003326,Saccharomyces cerevisiae (S288c)
YDL194W,SNF3,L000001946,Saccharomyces cerevisiae (S288c)
YDL035C,GPR1,L000004298,Saccharomyces cerevisiae (S288c)
YOL068C,HST1,histone deacetylase HST1|L000000826,Saccharomyces cerevisiae (S288c)
YPL015C,HST2,histone deacetylase HST2|L000003041,Saccharomyces cerevisiae (S288c)
C7_02890C_A,PMT1,orf19_5171|CaO19.12638|orf19.5171|CaO19.5171|orf6.6965|C7_02890C|Contig4-3092_0043|IPF22034.1|CaJ7_0330|CA4424|CAWG_05623|IPF5408.1|orf19.12638|C7_02890C_B|CaO19_5171|CaJ7.0330|CaO6.6965,Candida albicans (SC5314)
CR_03070W_A,CR_03070W_A,CA3043|CaO6.5174|CAWG_01643|Contig4-2445_0006|CR_03070W_B|IPF24917.1|DOM34|CaO19.9957|orf19.9957|CaO19.2419|orf19.2419|CR_03070W|orf6.5174|Contig4-2529_0007|IPF7299.2,Candida albicans (SC5314)
AT4G31800,WRKY18,ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 18|ATWRKY18|F11C18.16|WRKY DNA-binding protein 18,Arabidopsis thaliana (Columbia)
AT1G80840,WRKY40,ATWRKY40|F23A5.19|F23A5_19|WRKY DNA-binding protein 40,Arabidopsis thaliana (Columbia)
YMR313C,TGL3,-,Saccharomyces cerevisiae (S288c)
YKR089C,TGL4,STC1,Saccharomyces cerevisiae (S288c)
YKL040C,NFU1,NUB1|L000004771,Saccharomyces cerevisiae (S288c)
YNL064C,YDJ1,HSP40|MAB3|MAS5|type I HSP40 co-chaperone YDJ1|L000002503|L000003567|S000029274,Saccharomyces cerevisiae (S288c)
YHR036W,BRL1,-,Saccharomyces cerevisiae (S288c)
YER027C,GAL83,SPM1|L000000666,Saccharomyces cerevisiae (S288c)
YBR112C,CYC8,CRT8|SSN6|transcription regulator CYC8|[OCT]|[OCT1+]|L000000452,Saccharomyces cerevisiae (S288c)
YDR394W,RPT3,YNT1|YTA2|proteasome regulatory particle base subunit RPT3|L000002556|L000002537,Saccharomyces cerevisiae (S288c)
YGL048C,RPT6,CIM3|CRL3|SCB68|SUG1|proteasome regulatory particle base subunit RPT6|L000002174|L000000406|L000002265,Saccharomyces cerevisiae (S288c)
snR14,snR14,U4|L000001965,Saccharomyces cerevisiae (S288c)
snR6,snR6,U6|L000001961,Saccharomyces cerevisiae (S288c)
TLC1,TLC1,TER1|L000002315,Saccharomyces cerevisiae (S288c)
YHR120W,MSH1,mismatch repair ATPase MSH1|L000001189,Saccharomyces cerevisiae (S288c)
SPBC543.03c,pku80,-,Schizosaccharomyces pombe (972h)
SPBC582.05c,brc1,-,Schizosaccharomyces pombe (972h)
YHR205W,SCH9,HRM2|KOM1|serine/threonine protein kinase SCH9|L000001810,Saccharomyces cerevisiae (S288c)
YDR285W,ZIP1,L000002568,Saccharomyces cerevisiae (S288c)
YHR152W,SPO12,SDB21|L000002003|S000029441|L000001821,Saccharomyces cerevisiae (S288c)
YOR233W,KIN4,KIN3|KIN31|putative serine/threonine protein kinase KIN4|L000000904,Saccharomyces cerevisiae (S288c)
SPBC146.03c,cut3,smc4,Schizosaccharomyces pombe (972h)
RP3-511B24.1,TOP1,TOPI,Homo sapiens
-,TOP2A,TOP2|TP2A,Homo sapiens
-,TOP3A,TOP3|ZGRF7,Homo sapiens
YCL027W,FUS1,L000000653,Saccharomyces cerevisiae (S288c)
YHR158C,KEL1,L000003592,Saccharomyces cerevisiae (S288c)
YNL215W,IES2,-,Saccharomyces cerevisiae (S288c)
YIL048W,NEO1,putative aminophospholipid-translocating P4-type ATPase NEO1|L000004112,Saccharomyces cerevisiae (S288c)
YDL164C,CDC9,MMS8|DNA ligase (ATP) CDC9|L000000249,Saccharomyces cerevisiae (S288c)
YDR533C,HSP31,-,Saccharomyces cerevisiae (S288c)
YPL280W,HSP32,-,Saccharomyces cerevisiae (S288c)
YOR391C,HSP33,-,Saccharomyces cerevisiae (S288c)
YMR167W,MLH1,PMS2|mismatch repair ATPase MLH1|L000001121,Saccharomyces cerevisiae (S288c)
YML058W,SML1,ribonucleotide reductase inhibiting protein SML1|L000004580,Saccharomyces cerevisiae (S288c)
YAL005C,SSA1,YG100|Hsp70 family ATPase SSA1|L000002069,Saccharomyces cerevisiae (S288c)
YLL024C,SSA2,YG102|Hsp70 family chaperone SSA2|L000002070,Saccharomyces cerevisiae (S288c)
YLR383W,SMC6,RHC18|DNA repair protein SMC6|L000004130,Saccharomyces cerevisiae (S288c)
YGR086C,PIL1,lipid-binding protein PIL1,Saccharomyces cerevisiae (S288c)
YFL026W,STE2,alpha-factor pheromone receptor STE2|L000002112,Saccharomyces cerevisiae (S288c)
YML061C,PIF1,TST1|DNA helicase PIF1|L000001435,Saccharomyces cerevisiae (S288c)
YOR322C,LDB19,ART1,Saccharomyces cerevisiae (S288c)
YER178W,PDA1,pyruvate dehydrogenase (acetyl-transferring) subunit E1 alpha|L000001352,Saccharomyces cerevisiae (S288c)
YBL015W,ACH1,L000000021,Saccharomyces cerevisiae (S288c)
YOL138C,RTC1,SEA2,Saccharomyces cerevisiae (S288c)
YDR128W,MTC5,SEA3,Saccharomyces cerevisiae (S288c)
YBL104C,SEA4,YBL103C-A,Saccharomyces cerevisiae (S288c)
YCL011C,GBP2,RLF6|L000002609|L000003049,Saccharomyces cerevisiae (S288c)
YNL004W,HRB1,TOM34|L000002318,Saccharomyces cerevisiae (S288c)
YBR179C,FZO1,mitofusin|L000004083,Saccharomyces cerevisiae (S288c)
YLL001W,DNM1,dynamin-related GTPase DNM1|L000002645,Saccharomyces cerevisiae (S288c)
YIL034C,CAP2,F-actin-capping protein subunit beta|L000000215,Saccharomyces cerevisiae (S288c)
YMR092C,AIP1,L000000069,Saccharomyces cerevisiae (S288c)
YLR429W,CRN1,L000004279,Saccharomyces cerevisiae (S288c)
YNL138W,SRV2,CAP|L000002068,Saccharomyces cerevisiae (S288c)
YGR121C,MEP1,AMT1|ammonium permease MEP1|L000001073,Saccharomyces cerevisiae (S288c)
YNL142W,MEP2,ammonium permease MEP2|L000002583,Saccharomyces cerevisiae (S288c)
YPR138C,MEP3,ammonium permease MEP3|L000004105,Saccharomyces cerevisiae (S288c)
YNL183C,NPR1,serine/threonine protein kinase NPR1|L000001273,Saccharomyces cerevisiae (S288c)
YMR058W,FET3,ferroxidase FET3|L000000610,Saccharomyces cerevisiae (S288c)
YMR319C,FET4,L000000611,Saccharomyces cerevisiae (S288c)
