Gene Systematic Name,Gene Official Symbol,Gene Synonyms,Organism
SPBP16F5.02,mcs2,-,Schizosaccharomyces pombe (972h)
SPBC11B10.09,cdc2,cdk1|swo2|tws1|pi002|SPACTOKYO_453.34|wee2,Schizosaccharomyces pombe (972h)
SPBC646.09c,int6,yin6,Schizosaccharomyces pombe (972h)
SPBC106.10,pka1,git6|tpk|sam1|sam5|sam6|sam7,Schizosaccharomyces pombe (972h)
SPAC8E11.03c,dmc1,dmp1,Schizosaccharomyces pombe (972h)
SPBC1347.10,cdc23,mcm10,Schizosaccharomyces pombe (972h)
YGR204W,ADE3,trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase ADE3|L000000033,Saccharomyces cerevisiae (S288c)
YLR028C,ADE16,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase ADE16|L000003305,Saccharomyces cerevisiae (S288c)
YMR120C,ADE17,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase ADE17|L000003306,Saccharomyces cerevisiae (S288c)
YLR228C,ECM22,L000004375,Saccharomyces cerevisiae (S288c)
YDR213W,UPC2,MOX4,Saccharomyces cerevisiae (S288c)
YPL256C,CLN2,cyclin CLN2|L000000358,Saccharomyces cerevisiae (S288c)
YER142C,MAG1,MMS5|L000000976,Saccharomyces cerevisiae (S288c)
YLR032W,RAD5,REV2|SNM2|DNA helicase RAD5|L000001559,Saccharomyces cerevisiae (S288c)
YOL122C,SMF1,SBS1|divalent metal ion transporter SMF1|L000001931,Saccharomyces cerevisiae (S288c)
YJL187C,SWE1,WEE1|tyrosine protein kinase SWE1|L000002248,Saccharomyces cerevisiae (S288c)
YNL169C,PSD1,phosphatidylserine decarboxylase 1|L000001518,Saccharomyces cerevisiae (S288c)
YGR170W,PSD2,phosphatidylserine decarboxylase 2|L000002817,Saccharomyces cerevisiae (S288c)
YMR056C,AAC1,ADP/ATP carrier protein AAC1|L000000003,Saccharomyces cerevisiae (S288c)
YEL029C,BUD16,putative pyridoxal kinase BUD16,Saccharomyces cerevisiae (S288c)
YMR079W,SEC14,PIT1|phosphatidylinositol/phosphatidylcholine transfer protein SEC14|L000001839,Saccharomyces cerevisiae (S288c)
YLR229C,CDC42,Rho family GTPase CDC42|L000000276,Saccharomyces cerevisiae (S288c)
YDR510W,SMT3,SUMO family protein SMT3|L000001938,Saccharomyces cerevisiae (S288c)
YKL068W,NUP100,NSP100|FG-nucleoporin NUP100|[NUP100+]|L000001292,Saccharomyces cerevisiae (S288c)
YKL114C,APN1,DNA-(apurinic or apyrimidinic site) lyase APN1|L000000096,Saccharomyces cerevisiae (S288c)
YLR083C,EMP70,TMN1|p24a|L000000550,Saccharomyces cerevisiae (S288c)
YGL060W,YBP2,YBH1,Saccharomyces cerevisiae (S288c)
YOL115W,PAP2,TRF4|non-canonical poly(A) polymerase PAP2|L000002953,Saccharomyces cerevisiae (S288c)
YDR096W,GIS1,histone demethylase GIS1|L000003351,Saccharomyces cerevisiae (S288c)
YER120W,SCS2,phosphatidylinositol-binding protein SCS2|L000002629,Saccharomyces cerevisiae (S288c)
YIL090W,ICE2,-,Saccharomyces cerevisiae (S288c)
YOR025W,HST3,L000003042,Saccharomyces cerevisiae (S288c)
YMR137C,PSO2,SNM1|L000001953,Saccharomyces cerevisiae (S288c)
YOR304W,ISW2,L000004448,Saccharomyces cerevisiae (S288c)
YHR107C,CDC12,CLA10|PSL7|septin CDC12|L000000348|L000000252,Saccharomyces cerevisiae (S288c)
YDL225W,SHS1,SEP7|septin SHS1,Saccharomyces cerevisiae (S288c)
YPL089C,RLM1,L000003028,Saccharomyces cerevisiae (S288c)
YPL106C,SSE1,LPG3|MSI3|adenyl-nucleotide exchange factor SSE1|L000002078,Saccharomyces cerevisiae (S288c)
YDL201W,TRM8,-,Saccharomyces cerevisiae (S288c)
YBL024W,NCL1,TRM4,Saccharomyces cerevisiae (S288c)
YOR243C,PUS7,pseudouridine synthase PUS7,Saccharomyces cerevisiae (S288c)
YLR401C,DUS3,-,Saccharomyces cerevisiae (S288c)
YPL030W,TRM44,-,Saccharomyces cerevisiae (S288c)
YGL232W,TAN1,-,Saccharomyces cerevisiae (S288c)
YKR001C,VPS1,GRD1|LAM1|SPO15|VPL1|VPT26|dynamin-like GTPase VPS1|L000002006,Saccharomyces cerevisiae (S288c)
YPL086C,ELP3,HPA1|KTI8|TOT3|Elongator subunit ELP3|KAT9|L000004378,Saccharomyces cerevisiae (S288c)
YDL188C,PPH22,PPH2|phosphoprotein phosphatase 2A catalytic subunit PPH22|L000001473,Saccharomyces cerevisiae (S288c)
YHR135C,YCK1,CKI2|serine/threonine protein kinase YCK1|L000002500,Saccharomyces cerevisiae (S288c)
